assertion_id,batch_id,confidence,jurisdiction_id,normalized_status,notes,object_type,object_value,observed_text,predicate,source_id,source_locator,subject_id,subject_type
asrt-co-akron-classification,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Normalized into 01_Jurisdiction.,TEXT,Statutory Town,The Town identifies Akron as a statutory town in Washington County.,classification,src-co-akron-official-about,About Us — municipal classification,jurisdiction-co-akron,Jurisdiction
asrt-co-akron-expiry-annette-bowin,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Exact term-end date is not published and was not inferred.,YEAR,2028,The official roster reports a term expiration year of 2028 for Annette Bowin.,term_expiration_year,src-co-akron-board-trustees,Board of Trustees — term expiration,role-co-akron-mayor-annette-bowin,RoleTerm
asrt-co-akron-expiry-braden-brent,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Exact term-end date is not published and was not inferred.,YEAR,2028,The official roster reports a term expiration year of 2028 for Braden Brent.,term_expiration_year,src-co-akron-board-trustees,Board of Trustees — term expiration,role-co-akron-trustee-braden-brent,RoleTerm
asrt-co-akron-expiry-crystann-benson,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Exact term-end date is not published and was not inferred.,YEAR,2028,The official roster reports a term expiration year of 2028 for Crystann Benson.,term_expiration_year,src-co-akron-board-trustees,Board of Trustees — term expiration,role-co-akron-trustee-crystann-benson,RoleTerm
asrt-co-akron-expiry-jared-jefferson,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Exact term-end date is not published and was not inferred.,YEAR,2028,The official roster reports a term expiration year of 2028 for Jared Jefferson.,term_expiration_year,src-co-akron-board-trustees,Board of Trustees — term expiration,role-co-akron-trustee-jared-jefferson,RoleTerm
asrt-co-akron-expiry-joe-tarnow,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Exact term-end date is not published and was not inferred.,YEAR,2030,The official roster reports a term expiration year of 2030 for Joe Tarnow.,term_expiration_year,src-co-akron-board-trustees,Board of Trustees — term expiration,role-co-akron-trustee-joe-tarnow,RoleTerm
asrt-co-akron-expiry-ron-kraich,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Exact term-end date is not published and was not inferred.,YEAR,2030,The official roster reports a term expiration year of 2030 for Ron Kraich.,term_expiration_year,src-co-akron-board-trustees,Board of Trustees — term expiration,role-co-akron-trustee-ron-kraich,RoleTerm
asrt-co-akron-expiry-terry-alexander,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Exact term-end date is not published and was not inferred.,YEAR,2030,The official roster reports a term expiration year of 2030 for Terry Alexander.,term_expiration_year,src-co-akron-board-trustees,Board of Trustees — term expiration,role-co-akron-trustee-terry-alexander,RoleTerm
asrt-co-akron-governing-body,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Normalized into 03_Body.,TEXT,Akron Board of Trustees,The code establishes a Board of Trustees consisting of the mayor and six trustees.,governing_body,src-co-akron-current-code,Code §1-5-1,body-co-akron-board-of-trustees,Body
asrt-co-akron-holder-annette-bowin,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Normalized into 05_Person and 06_RoleTerm.,ENTITY_ID,person-co-akron-annette-bowin,Annette Bowin is listed as current Mayor.,current_holder,src-co-akron-board-trustees,Board of Trustees — current roster,role-co-akron-mayor-annette-bowin,RoleTerm
asrt-co-akron-holder-braden-brent,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Normalized into 05_Person and 06_RoleTerm.,ENTITY_ID,person-co-akron-braden-brent,Braden Brent is listed as current Trustee.,current_holder,src-co-akron-board-trustees,Board of Trustees — current roster,role-co-akron-trustee-braden-brent,RoleTerm
asrt-co-akron-holder-crystann-benson,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Normalized into 05_Person and 06_RoleTerm.,ENTITY_ID,person-co-akron-crystann-benson,Crystann Benson is listed as current Trustee.,current_holder,src-co-akron-board-trustees,Board of Trustees — current roster,role-co-akron-trustee-crystann-benson,RoleTerm
asrt-co-akron-holder-jared-jefferson,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Normalized into 05_Person and 06_RoleTerm.,ENTITY_ID,person-co-akron-jared-jefferson,Jared Jefferson is listed as current Trustee.,current_holder,src-co-akron-board-trustees,Board of Trustees — current roster,role-co-akron-trustee-jared-jefferson,RoleTerm
asrt-co-akron-holder-joe-tarnow,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Normalized into 05_Person and 06_RoleTerm.,ENTITY_ID,person-co-akron-joe-tarnow,Joe Tarnow is listed as current Trustee.,current_holder,src-co-akron-board-trustees,Board of Trustees — current roster,role-co-akron-trustee-joe-tarnow,RoleTerm
asrt-co-akron-holder-ron-kraich,CO-NORM-001,HIGH,jurisdiction-co-akron,NORMALIZED,Normalized into 05_Person and 06_RoleTerm.,ENTITY_ID,person-co-akron-ron-kraich,Ron Kraich is listed as current Trustee.,current_holder,src-co-akron-board-trustees,Board of Trustees — current roster,role-co-akron-trustee-ron-kraich,RoleTerm
