accessed_at,archive_url,authority_level,batch_id,jurisdiction_id,locator,notes,published_at,publisher,source_id,source_type,supports_entity_id,supports_entity_type,title,url
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-akron,Current and archived agendas and minutes for municipal bodies,Official meeting-record source path.,,Town of Akron,src-co-akron-agenda-center,OFFICIAL_DIRECTORY,jurisdiction-co-akron,Jurisdiction,Agenda Center,https://www.townofakron.com/AgendaCenter
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-akron,"Current mayor and trustee roster, term-expiration years, election cycle, Town Hall address",Primary governing-body roster and structure source.,,Town of Akron,src-co-akron-board-trustees,OFFICIAL_DIRECTORY,jurisdiction-co-akron,Jurisdiction,Board of Trustees,https://www.townofakron.com/172/Board-of-Trustees
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-akron,"Standing local boards, committees, appointments, and meeting information",Primary boards and committees inventory source.,,Town of Akron,src-co-akron-boards-committees,OFFICIAL_DIRECTORY,jurisdiction-co-akron,Jurisdiction,Other Boards and Committees,https://www.townofakron.com/176/Other-Boards-Committees
2026-08-18 22:07 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-akron,Colorado incorporated-place row for Akron; PLACE=00925; GEOID=0800925.,"Inventory identity and municipal type only; this source does not establish the local governing body, office roster, terms, or municipal legal authority.",2025-01-01,U.S. Census Bureau,src-co-akron-census-incplace-2025,US_CENSUS,jurisdiction-co-akron,Jurisdiction,"State of Colorado Incorporated Places — Current/ACS25 — Data as of January 1, 2025",https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_co.html
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-akron,Town links to current municipal code and official zoning-map resources,Official municipal code and zoning source hub.,,Town of Akron,src-co-akron-code-zoning,OFFICIAL_GUIDE,jurisdiction-co-akron,Jurisdiction,Municipal Code and Zoning Maps,https://www.townofakron.com/173/Municipal-Code-Zoning-Maps
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-akron,Current codified municipal ordinances,Current local code source linked by the Town.,,Town of Akron / American Legal Publishing,src-co-akron-current-code,OFFICIAL_CODE,jurisdiction-co-akron,Jurisdiction,"Akron, Colorado Code of Ordinances",https://codelibrary.amlegal.com/codes/akron_co/latest/overview
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-akron,"Municipal election notices, candidate information, election calendar, and results path",Primary local municipal-election source.,,Town of Akron,src-co-akron-elections,ELECTION_AUTHORITY,jurisdiction-co-akron,Jurisdiction,Election Information,https://www.townofakron.com/169/Election-Information
2026-08-19 01:07 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-akron,"Akron Public Library; physical address 302 Main Avenue, Akron, CO 80720.",Second independent official municipal facility-address control for CO-NORM-001.,,Town of Akron,src-co-akron-library,OFFICIAL_DIRECTORY,jurisdiction-co-akron,Jurisdiction,Akron Public Library,https://www.townofakron.com/276/Akron-Public-Library
2026-08-19 01:07 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-akron,Statutory-town classification; Washington County location; Town Hall at 250 Main Avenue; Public Works at 1175 East Highway 34.,"Official municipal classification, county, and facility-address source used for CO-NORM-001.",,Town of Akron,src-co-akron-official-about,OFFICIAL_GUIDE,jurisdiction-co-akron,Jurisdiction,About Us,https://townofakron.colorado.gov/home/about-us
2026-08-18 22:45 America/Denver,,SECONDARY_OFFICIAL,CO-INV-001,jurisdiction-co-akron,Parcel and situs-address search for Washington County,County property-search route for address controls and jurisdiction corroboration.,,Washington County Assessor,src-co-akron-washington-property-search,GIS,jurisdiction-co-akron,Jurisdiction,Washington County Property Search,https://washingtonco-search.gsacorp.io/
2026-08-19 01:29 America/Denver,,INTERNAL_REFERENCE,CO-NORM-001,jurisdiction-co-akron,Source_GEOIDFQ 1600000US0800925; PLACE; CANONICAL; GEOGRAPHY_AND_JURISDICTION; canonical target 1600000US0800925; PASS; GEO-AUTH-2025-001; reviewed 2026-08-01.,"Authoritative geography-disposition evidence used to resolve Akron's fail-closed DS-005 gate. Matched by exact fully qualified Census key, not by name.",,Nested Divisions / WB-002,src-ds005-geography-disposition-akron,REFERENCE_WORKBOOK,jurisdiction-co-akron,Jurisdiction,Geography_Disposition — Akron authority row,https://docs.google.com/spreadsheets/d/139NETp-iofSoHtl_-IdSSph6xf_ePFVtR8l6KWYadSI/edit#gid=2026080105&range=A5675:N5675
