assertion_id,batch_id,confidence,jurisdiction_id,normalized_status,notes,object_type,object_value,observed_text,predicate,source_id,source_locator,subject_id,subject_type
asrt-co-alamosa-at-large-seats,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Modeled as one aggregate two-seat office because persistent numbered at-large positions are not published.,NUMBER,2,Two Councilmembers are elected at large.,seat_count,src-co-alamosa-municipal-code,Charter Article III,office-co-alamosa-council-at-large,Office
asrt-co-alamosa-classification,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Normalized into 01_Jurisdiction.,TEXT,Home Rule City,Alamosa operates under a Home Rule Charter.,classification,src-co-alamosa-municipal-code,Charter / municipal code,jurisdiction-co-alamosa,Jurisdiction
asrt-co-alamosa-council-composition,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Seven elected seats represented by six Office records.,NUMBER,7,The elected City Council consists of the Mayor and six Councilmembers.,member_count,src-co-alamosa-municipal-code,Charter Article III,body-co-alamosa-city-council,Body
asrt-co-alamosa-county,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Normalized into 01_Jurisdiction.,TEXT,Alamosa County,Official Alamosa County election authority maintains City of Alamosa ward and municipal election records.,county_name,src-co-alamosa-county-elections,Elections Department,jurisdiction-co-alamosa,Jurisdiction
asrt-co-alamosa-current-roster-count,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Used as current-holder coverage control.,NUMBER,7,The current City Council portal lists seven sitting members.,current_member_count,src-co-alamosa-current-council-roster,City Council Current Members,body-co-alamosa-city-council,Body
asrt-co-alamosa-cycle-dawn-krebs,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Exact selection/start/end dates left blank.,YEAR,2025,Official 2025 election evidence supports Dawn Krebs's current Ward 2 cycle.,election_cycle_year,src-co-alamosa-county-elections,Alamosa County Coordinated 2025 Official,role-co-alamosa-ward2-dawn-krebs,RoleTerm
asrt-co-alamosa-cycle-jackie-vigil,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Exact selection/start/end dates left blank.,YEAR,2023,Official City 2023 oath/election records support Jackie Vigil's current Ward 3 cycle.,election_cycle_year,src-co-alamosa-agenda-portal,2023 oath / agenda record,role-co-alamosa-ward3-jackie-vigil,RoleTerm
asrt-co-alamosa-cycle-jan-vigil,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Exact selection/start/end dates left blank.,YEAR,2025,Official 2025 election evidence supports Jan Vigil's current at-large cycle.,election_cycle_year,src-co-alamosa-county-elections,Alamosa County Coordinated 2025 Official,role-co-alamosa-at-large-jan-vigil,RoleTerm
asrt-co-alamosa-cycle-liz-hensley,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Exact selection/start/end dates left blank.,YEAR,2023,Official City 2023 oath/election records support Liz Hensley's current Ward 1 cycle.,election_cycle_year,src-co-alamosa-agenda-portal,2023 oath / agenda record,role-co-alamosa-ward1-liz-hensley,RoleTerm
asrt-co-alamosa-cycle-mark-martinez,CO-NORM-002,HIGH,jurisdiction-co-alamosa,NORMALIZED,Exact selection/start/end dates left blank.,YEAR,2025,Official 2025 election evidence supports Mark Martinez's current Ward 4 cycle.,election_cycle_year,src-co-alamosa-county-elections,Alamosa County Coordinated 2025 Official,role-co-alamosa-ward4-mark-martinez,RoleTerm
