accessed_at,archive_url,authority_level,batch_id,jurisdiction_id,locator,notes,published_at,publisher,source_id,source_type,supports_entity_id,supports_entity_type,title,url
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alamosa,"City Council and commission agendas, minutes, roll calls, ordinances, and supporting packets",Official meeting-record and legislative-document source path.,,City of Alamosa / NovusAGENDA,src-co-alamosa-agenda-portal,OFFICIAL_DIRECTORY,jurisdiction-co-alamosa,Jurisdiction,Public Meeting Agenda Portal,https://alamosa.novusagenda.com/AgendaPublic/
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alamosa,"Standing boards, commissions, committees, vacancies, terms, members, and meeting links",Primary boards and commissions inventory source.,,City of Alamosa / Granicus,src-co-alamosa-boards-commissions,OFFICIAL_DIRECTORY,jurisdiction-co-alamosa,Jurisdiction,Boards and Commissions,https://cityofalamosa.granicus.com/boards/w/2fdb3aed5563f0ff
2026-08-18 22:07 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alamosa,Colorado incorporated-place row for Alamosa; PLACE=01090; GEOID=0801090.,"Inventory identity and municipal type only; this source does not establish the local governing body, office roster, terms, or municipal legal authority.",2025-01-01,U.S. Census Bureau,src-co-alamosa-census-incplace-2025,US_CENSUS,jurisdiction-co-alamosa,Jurisdiction,"State of Colorado Incorporated Places — Current/ACS25 — Data as of January 1, 2025",https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_co.html
2026-08-18 22:45 America/Denver,,SECONDARY_OFFICIAL,CO-INV-001,jurisdiction-co-alamosa,Official online property map and address/parcel search,County property and address-control source.,,Alamosa County Assessor,src-co-alamosa-county-assessor,GIS,jurisdiction-co-alamosa,Jurisdiction,Assessor and Online Property Map/Search,https://www.alamosacounty.org/163/Assessor
2026-08-18 22:45 America/Denver,,SECONDARY_OFFICIAL,CO-INV-001,jurisdiction-co-alamosa,"Election results, municipal-election administration, City of Alamosa ward map, and election contacts",County election authority and official City ward-map source.,,Alamosa County Clerk and Recorder,src-co-alamosa-county-elections,ELECTION_AUTHORITY,jurisdiction-co-alamosa,Jurisdiction,Elections Department,https://www.alamosacounty.org/166/Elections-Department
2026-08-19 08:53 America/Denver,,PRIMARY_OFFICIAL,CO-REC-001,jurisdiction-co-alamosa,Current City Council roster; seven sitting members.,"Current portal lists all seven sitting council members; seat mapping remains controlled by existing Charter, City agenda, and County election evidence.",,City of Alamosa / Diligent,src-co-alamosa-current-council-roster,OFFICIAL_DIRECTORY,jurisdiction-co-alamosa,Jurisdiction,City Council - Current Members,https://cityofalamosa.community.diligentoneplatform.com/portal/members.aspx?id=16
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alamosa,Official municipal meeting schedule and City Hall contact,Official meeting calendar source.,,City of Alamosa,src-co-alamosa-meeting-calendar,OFFICIAL_DIRECTORY,jurisdiction-co-alamosa,Jurisdiction,City Meeting Calendar,https://cityofalamosa.org/meeting-calendar/
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alamosa,Current charter and codified municipal ordinances,Primary local charter and code source.,,City of Alamosa / Municode,src-co-alamosa-municipal-code,OFFICIAL_CODE,jurisdiction-co-alamosa,Jurisdiction,Alamosa Code of Ordinances and Charter,https://library.municode.com/co/alamosa
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alamosa,"City Hall contact, departments, notices, and migration notice to Alamosa.gov",Primary City web and contact source; the legacy site identifies the City's move to Alamosa.gov.,,City of Alamosa,src-co-alamosa-official-site,OFFICIAL_DIRECTORY,jurisdiction-co-alamosa,Jurisdiction,City of Alamosa Official Website,https://cityofalamosa.org/
2026-08-19 14:37 America/Denver,,SECONDARY_OFFICIAL,CO-NORM-002,jurisdiction-co-alamosa,"Alamosa Recreation Center, 2222 Old Sanford Rd, Alamosa, CO.",Address-only corroboration for the second citywide routing control; does not establish elected office or ward assignment.,2026-07-25,Visit Alamosa,src-co-alamosa-recreation-center-address,OFFICIAL_DIRECTORY,jurisdiction-co-alamosa,Jurisdiction,Alamosa Recreation Center address,https://www.alamosa.org/event/bike2build-san-luis-valley-half-century/
2026-08-19 14:37 America/Denver,,INTERNAL_REFERENCE,CO-NORM-002,jurisdiction-co-alamosa,Source_GEOIDFQ 1600000US0801090; PLACE; CANONICAL; GEOGRAPHY_AND_JURISDICTION; canonical target 1600000US0801090; PASS; GEO-AUTH-2025-001; reviewed 2026-08-01.,Authoritative geography-disposition evidence matched by exact fully qualified Census key.,,Nested Divisions / WB-002,src-ds005-geography-disposition-alamosa,REFERENCE_WORKBOOK,jurisdiction-co-alamosa,Jurisdiction,Geography_Disposition — Alamosa authority row,https://docs.google.com/spreadsheets/d/139NETp-iofSoHtl_-IdSSph6xf_ePFVtR8l6KWYadSI/edit#gid=2026080105&range=A5678:N5678
