assertion_id,batch_id,confidence,jurisdiction_id,normalized_status,notes,object_type,object_value,observed_text,predicate,source_id,source_locator,subject_id,subject_type
asrt-co-alma-classification,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Normalized into 01_Jurisdiction.,TEXT,Statutory Town,Alma is governed as a Colorado statutory town.,classification,src-co-alma-municipal-code,Municipal code / election structure,jurisdiction-co-alma,Jurisdiction
asrt-co-alma-county,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Normalized into 01_Jurisdiction.,TEXT,Park County,Official Park County GIS is the county geography source for Alma.,county_name,src-co-alma-park-county-gis,Park County GIS,jurisdiction-co-alma,Jurisdiction
asrt-co-alma-election-date-2026,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Used only for officials directly established by the 2026 result.,DATE,2026-04-07,"The Town's 2026 municipal election was held April 7, 2026.",election_date,src-co-alma-elections,2026 Elections,jurisdiction-co-alma,Election
asrt-co-alma-governing-body,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Normalized into 03_Body.,TEXT,Alma Board of Trustees,The Town identifies the Board of Trustees as its elected governing body.,governing_body,src-co-alma-board-trustees,Board of Trustees,body-co-alma-board-of-trustees,Body
asrt-co-alma-holder-andrew-zimmerman,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Current holder normalized from newer post-election evidence; older Board page may be stale.,ID,office-co-alma-trustee,The 2026 Elections page identifies Andrew Zimmerman as a four-year Trustee.,current_office,src-co-alma-elections,2026 Elections,person-co-alma-andrew-zimmerman,Person
asrt-co-alma-holder-bob-kassel,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Robert H. Kassel retained as alias from certified result.,ID,office-co-alma-mayor,The 2026 Elections page identifies Bob Kassel as Mayor.,current_office,src-co-alma-elections,2026 Elections,person-co-alma-bob-kassel,Person
asrt-co-alma-holder-cody-lefever,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Current holder normalized.,ID,office-co-alma-trustee,The 2026 Elections page identifies Cody Lefever as a four-year Trustee.,current_office,src-co-alma-elections,2026 Elections,person-co-alma-cody-lefever,Person
asrt-co-alma-holder-ian-greene,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Canonical spelling Ian Greene retained from official Board/2024 records; Ian Green retained as alias.,ID,office-co-alma-trustee,The 2026 Elections page identifies Ian Green as the continuing two-year Trustee position.,current_office,src-co-alma-elections,2026 Elections,person-co-alma-ian-greene,Person
asrt-co-alma-holder-paul-greguoli,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Current holder normalized.,ID,office-co-alma-trustee,The 2026 Elections page identifies Paul Greguoli as a four-year Trustee.,current_office,src-co-alma-elections,2026 Elections,person-co-alma-paul-greguoli,Person
asrt-co-alma-mayor-scope,CO-NORM-002,HIGH,jurisdiction-co-alma,NORMALIZED,Normalized into Mayor office.,TEXT,TOWNWIDE,The Mayor is elected townwide.,constituency,src-co-alma-elections,2026 Elections,office-co-alma-mayor,Office
