accessed_at,archive_url,authority_level,batch_id,jurisdiction_id,locator,notes,published_at,publisher,source_id,source_type,supports_entity_id,supports_entity_type,title,url
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alma,Current mayor and trustee roster and governing-body information,Primary governing-body roster source.,,Town of Alma,src-co-alma-board-trustees,OFFICIAL_DIRECTORY,jurisdiction-co-alma,Jurisdiction,Board of Trustees,https://townofalma.com/board-of-trustees/
2026-08-19 08:53 America/Denver,,PRIMARY_OFFICIAL,CO-REC-001,jurisdiction-co-alma,Section 2-2-90; Article 6 Planning and Zoning Commission; Article 7 Utilities Board.,"Code establishes the Board of Adjustment, Planning and Zoning Commission, and Utilities Board. The Utilities Board membership text still says seven members of the Board of Trustees, creating a nonblocking post-2026 membership-rule conflict warning.",,Town of Alma / Municode,src-co-alma-boards-commissions-code,OFFICIAL_CODE,jurisdiction-co-alma,Jurisdiction,Alma Municipal Code - Boards and Commissions,https://library.municode.com/co/alma/codes/municipal_code?nodeId=CH2AD
2026-08-18 22:07 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alma,Colorado incorporated-place row for Alma; PLACE=01530; GEOID=0801530.,"Inventory identity and municipal type only; this source does not establish the local governing body, office roster, terms, or municipal legal authority.",2025-01-01,U.S. Census Bureau,src-co-alma-census-incplace-2025,US_CENSUS,jurisdiction-co-alma,Jurisdiction,"State of Colorado Incorporated Places — Current/ACS25 — Data as of January 1, 2025",https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_co.html
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alma,"Town administration, clerk, public works, municipal contact, and Town Hall routing",Official municipal contact and first address-control source.,,Town of Alma,src-co-alma-contact,OFFICIAL_DIRECTORY,jurisdiction-co-alma,Jurisdiction,Contact the Town of Alma,https://townofalma.com/contact/
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alma,"Municipal election results, office labels, term lengths, and appointment history",Primary local election and term-source path.,,Town of Alma,src-co-alma-elections,ELECTION_AUTHORITY,jurisdiction-co-alma,Jurisdiction,Elections,https://townofalma.com/elections/
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alma,Archived official Town Council meeting minutes,Official meeting-minute source path.,,Town of Alma,src-co-alma-meeting-minutes,OFFICIAL_DIRECTORY,jurisdiction-co-alma,Jurisdiction,Meeting Minutes,https://townofalma.com/meetings/meeting-minutes/
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alma,"Meeting schedule, Zoom access, and agenda/minute routes",Primary meeting schedule and records hub.,,Town of Alma,src-co-alma-meetings,OFFICIAL_DIRECTORY,jurisdiction-co-alma,Jurisdiction,Council Meetings,https://townofalma.com/meetings/
2026-08-18 22:45 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-alma,Current codified municipal ordinances,Primary local code source.,,Town of Alma / Municode,src-co-alma-municipal-code,OFFICIAL_CODE,jurisdiction-co-alma,Jurisdiction,Alma Municipal Code,https://library.municode.com/co/alma/codes/municipal_code
2026-08-18 22:45 America/Denver,,SECONDARY_OFFICIAL,CO-INV-001,jurisdiction-co-alma,Official county GIS service for zoning and place/address corroboration,County GIS source for boundary and address controls.,,Park County GIS,src-co-alma-park-county-gis,GIS,jurisdiction-co-alma,Jurisdiction,Park County Zoning Map Service,https://maps.parkco.us/arcgis/rest/services/zoning/Zoning2023_w_ABBR/MapServer
2026-08-19 14:37 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-002,jurisdiction-co-alma,"Alma Town Hall — 59 Buckskin Street; Alma Community Building — 184 N Main St; Alma, CO 80420.",Official municipal venue addresses used only for townwide routing controls.,,Town of Alma,src-co-alma-venues,OFFICIAL_DIRECTORY,jurisdiction-co-alma,Jurisdiction,Venues,https://townofalma.com/venues/
2026-08-19 14:37 America/Denver,,INTERNAL_REFERENCE,CO-NORM-002,jurisdiction-co-alma,Source_GEOIDFQ 1600000US0801530; PLACE; CANONICAL; GEOGRAPHY_AND_JURISDICTION; canonical target 1600000US0801530; PASS; GEO-AUTH-2025-001; reviewed 2026-08-01.,Authoritative geography-disposition evidence matched by exact fully qualified Census key.,,Nested Divisions / WB-002,src-ds005-geography-disposition-alma,REFERENCE_WORKBOOK,jurisdiction-co-alma,Jurisdiction,Geography_Disposition — Alma authority row,https://docs.google.com/spreadsheets/d/139NETp-iofSoHtl_-IdSSph6xf_ePFVtR8l6KWYadSI/edit#gid=2026080105&range=A5681:N5681
