assertion_id,batch_id,confidence,jurisdiction_id,normalized_status,notes,object_type,object_value,observed_text,predicate,source_id,source_locator,subject_id,subject_type
asrt-co-arvada-at-large-seat-count,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized as separate 2023-cycle and 2025-cycle at-large offices because no numbered positions are published.,INTEGER,2,Two Councilmembers serve at large and represent the entire city.,at_large_seat_count,src-co-arvada-city-council,About City Council — composition,body-co-arvada-city-council,Body
asrt-co-arvada-city-hall-address,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Used as citywide address control; no district-level result was inferred.,ADDRESS,"8101 Ralston Road, Arvada, CO 80002",The official City Council page publishes the City of Arvada address at 8101 Ralston Road.,official_facility_address,src-co-arvada-city-council,City Council — Contact Us,jurisdiction-co-arvada,Jurisdiction
asrt-co-arvada-citywide-boundary,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 02_Division.,ENTITY_ID,src-co-arvada-census-incplace-2025,The Census incorporated-place geography supplies the citywide Arvada polygon.,boundary_source,src-co-arvada-census-incplace-2025,Colorado incorporated-place row — Arvada,division-co-arvada-citywide,Division
asrt-co-arvada-classification,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 01_Jurisdiction.,TEXT,Home Rule City,The City Charter establishes Arvada as a home-rule municipality.,classification,src-co-arvada-charter,City Charter — home-rule adoption,jurisdiction-co-arvada,Jurisdiction
asrt-co-arvada-council-composition,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Supports one Mayor and six Councilmember offices.,INTEGER,7,The official City Council page states that Council consists of seven directly elected citizens.,seat_count,src-co-arvada-city-council,About City Council — composition,body-co-arvada-city-council,Body
asrt-co-arvada-county-coverage,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized as multi-county coverage; no single-county value was forced.,TEXT,Jefferson County; Adams County,The official City election results route voters through both Jefferson County and Adams County election authorities.,county_coverage,src-co-arvada-2025-election-results,2025 Election Results — county result links,jurisdiction-co-arvada,Jurisdiction
asrt-co-arvada-district-1-key,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 02_Division and 10_IdentifierCrosswalk.,IDENTIFIER,1,The official map identifies Council District 1.,representation_key,src-co-arvada-council-district-map,Council District Map — District 1,division-co-arvada-district-1,Division
asrt-co-arvada-district-1-seat,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 04_Office.,INTEGER,1,Council District 1 has one elected representative.,seat_count,src-co-arvada-city-council,About City Council — District 1,office-co-arvada-council-district-1,Office
asrt-co-arvada-district-2-key,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 02_Division and 10_IdentifierCrosswalk.,IDENTIFIER,2,The official map identifies Council District 2.,representation_key,src-co-arvada-council-district-map,Council District Map — District 2,division-co-arvada-district-2,Division
asrt-co-arvada-district-2-seat,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 04_Office.,INTEGER,1,Council District 2 has one elected representative.,seat_count,src-co-arvada-city-council,About City Council — District 2,office-co-arvada-council-district-2,Office
asrt-co-arvada-district-3-key,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 02_Division and 10_IdentifierCrosswalk.,IDENTIFIER,3,The official map identifies Council District 3.,representation_key,src-co-arvada-council-district-map,Council District Map — District 3,division-co-arvada-district-3,Division
asrt-co-arvada-district-3-seat,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 04_Office.,INTEGER,1,Council District 3 has one elected representative.,seat_count,src-co-arvada-city-council,About City Council — District 3,office-co-arvada-council-district-3,Office
asrt-co-arvada-district-4-key,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 02_Division and 10_IdentifierCrosswalk.,IDENTIFIER,4,The official map identifies Council District 4.,representation_key,src-co-arvada-council-district-map,Council District Map — District 4,division-co-arvada-district-4,Division
asrt-co-arvada-district-4-seat,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 04_Office.,INTEGER,1,Council District 4 has one elected representative.,seat_count,src-co-arvada-city-council,About City Council — District 4,office-co-arvada-council-district-4,Office
asrt-co-arvada-district-map-adoption,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into Districts 1–4; the official map app is retained as the geometry source.,TEXT,Four districts; adopted January 2023,The official interactive Council District Map defines four districts and was adopted in January 2023.,council_district_map,src-co-arvada-council-district-map,City Council District Map,jurisdiction-co-arvada,Jurisdiction
asrt-co-arvada-election-bob-fifer,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Exact election and swearing dates were not inferred.,YEAR,2023,Bob Fifer was elected District 4 Councilmember in 2023.,election_year,src-co-arvada-profile-bob-fifer,Official District 4 profile,role-co-arvada-council-d4-bob-fifer,RoleTerm
asrt-co-arvada-election-lauren-simpson,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Exact election and swearing dates were not inferred from the year-only profile statement.,YEAR,2023,Lauren Simpson was elected Mayor in the 2023 election for a four-year term.,election_year,src-co-arvada-profile-lauren-simpson,Official Mayor profile,role-co-arvada-mayor-lauren-simpson,RoleTerm
asrt-co-arvada-election-michael-griffith,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 06_RoleTerm.,DATE,2025-11-04,Final 2025 results show Michael Griffith won the At-Large contest.,selection_date,src-co-arvada-2025-election-results,2025 Election Results — At Large,role-co-arvada-at-large-2025-michael-griffith,RoleTerm
asrt-co-arvada-election-randy-moorman,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 06_RoleTerm.,DATE,2025-11-04,Final 2025 results show Randy Moorman won District 1.,selection_date,src-co-arvada-2025-election-results,2025 Election Results — District 1,role-co-arvada-council-d1-randy-moorman,RoleTerm
asrt-co-arvada-election-rebecka-lovisone,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Normalized into 06_RoleTerm.,DATE,2025-11-04,Final 2025 results show Rebecka Lovisone won District 3.,selection_date,src-co-arvada-2025-election-results,2025 Election Results — District 3,role-co-arvada-council-d3-rebecka-lovisone,RoleTerm
asrt-co-arvada-election-sharon-davis,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Exact election and swearing dates were not inferred.,MONTH,2023-11,Sharon Davis was elected Councilmember At-Large in November 2023.,election_month,src-co-arvada-profile-sharon-davis,Official At-Large profile,role-co-arvada-at-large-2023-sharon-davis,RoleTerm
asrt-co-arvada-election-shawna-ambrose,CO-NORM-001,HIGH,jurisdiction-co-arvada,NORMALIZED,Exact election and swearing dates were not inferred.,YEAR,2023,Shawna Ambrose was elected to represent District 2 in 2023.,election_year,src-co-arvada-profile-shawna-ambrose,Official District 2 profile,role-co-arvada-council-d2-shawna-ambrose,RoleTerm
