accessed_at,archive_url,authority_level,batch_id,jurisdiction_id,locator,notes,published_at,publisher,source_id,source_type,supports_entity_id,supports_entity_type,title,url
2026-08-18 22:22 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-arvada,"Final at-large, District 1, and District 3 City Council results",Current election-result source for seats contested in 2025.,,City of Arvada,src-co-arvada-2025-election-results,ELECTION_AUTHORITY,jurisdiction-co-arvada,Jurisdiction,2025 Election Results,https://www.arvadaco.gov/1440/2025-Election-Results
2026-08-18 22:22 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-arvada,"Current agendas and minutes for City Council, boards, and commissions","Meeting, body, and committee evidence source path.",,City of Arvada,src-co-arvada-agenda-center,OFFICIAL_DIRECTORY,jurisdiction-co-arvada,Jurisdiction,Agenda Center,https://www.arvadaco.gov/AgendaCenter
2026-08-18 22:22 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-arvada,"Standing boards, commissions, authorities, roles, terms, members, and meetings",Primary committee and board inventory source path.,,City of Arvada,src-co-arvada-boards-commissions,OFFICIAL_DIRECTORY,jurisdiction-co-arvada,Jurisdiction,"Boards, Commissions, and Committees",https://www.arvadaco.gov/248/Boards-Commissions-and-Committees
2026-08-18 22:07 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-arvada,Colorado incorporated-place row for Arvada; PLACE=03455; GEOID=0803455.,"Inventory identity and municipal type only; this source does not establish the local governing body, office roster, terms, or municipal legal authority.",2025-01-01,U.S. Census Bureau,src-co-arvada-census-incplace-2025,US_CENSUS,jurisdiction-co-arvada,Jurisdiction,"State of Colorado Incorporated Places — Current/ACS25 — Data as of January 1, 2025",https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_co.html
2026-08-18 22:22 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-arvada,"Charter, including Chapters IV and V governing City Council",Official charter source linked by the City of Arvada.,,City of Arvada / Municode,src-co-arvada-charter,OFFICIAL_CHARTER,jurisdiction-co-arvada,Jurisdiction,Arvada City Charter,https://library.municode.com/co/arvada/codes/code_of_ordinances?nodeId=PTICH
2026-08-18 22:22 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-arvada,"Current seven-member roster, composition, qualifications, four-year terms, term limits, and district-map link",Primary roster and governing-body structure source.,,City of Arvada,src-co-arvada-city-council,OFFICIAL_DIRECTORY,jurisdiction-co-arvada,Jurisdiction,About City Council,https://www.arvadaco.gov/158/About-City-Council
2026-08-18 22:22 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-arvada,Interactive address search; four council districts; map adopted January 2023,District identity and district-routing control source.,,City of Arvada / ArcGIS,src-co-arvada-council-district-map,GIS,jurisdiction-co-arvada,Jurisdiction,Arvada City Council District Map,https://arvada.maps.arcgis.com/apps/instant/sidebar/index.html?appid=332a7eba6a4641999d278cfa6ee149f4
2026-08-19 01:45 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-arvada,"Official City environmental-education facility at 7030 Garrison St., Arvada, CO 80004.",Second independent official municipal facility-address control.,,City of Arvada,src-co-arvada-majestic-view,OFFICIAL_DIRECTORY,jurisdiction-co-arvada,Jurisdiction,Majestic View Nature Center,https://www.arvadaco.gov/1215/Majestic-View-Nature-Center
2026-08-18 22:22 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-arvada,Current codified ordinances and supplement history,City directs users to Municode for the current code.,,City of Arvada / Municode,src-co-arvada-municipal-code,OFFICIAL_CODE,jurisdiction-co-arvada,Jurisdiction,Arvada Code of Ordinances,https://library.municode.com/co/arvada/codes/code_of_ordinances
2026-08-18 22:22 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-arvada,Combined election results 2013-present; candidate records; district maps,Historical election and candidate-record source path.,,City of Arvada,src-co-arvada-past-elections,ELECTION_AUTHORITY,jurisdiction-co-arvada,Jurisdiction,Past Elections,https://www.arvadaco.gov/292/Past-Elections
2026-08-19 01:45 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-arvada,"Official profile: elected at-large in 2011, 2015, and 2019; elected District 4 Councilmember in 2023.","Current identity, District 4 office, and election-year evidence.",,City of Arvada,src-co-arvada-profile-bob-fifer,OFFICIAL_DIRECTORY,person-co-arvada-bob-fifer,Person,"Bob Fifer, District 4 Councilmember",https://www.arvadaco.gov/816/Bob-Fifer-District-4-Councilmember
2026-08-19 01:45 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-arvada,Official profile: elected Mayor in the 2023 election for a four-year term; previously District 2 Councilmember from 2019 through 2023.,"Current identity, title, election year, and term-length evidence for CO-NORM-001.",,City of Arvada,src-co-arvada-profile-lauren-simpson,OFFICIAL_DIRECTORY,person-co-arvada-lauren-simpson,Person,"Lauren Simpson, Mayor",https://www.arvadaco.gov/823/Lauren-Simpson-Mayor
2026-08-19 01:45 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-arvada,Official profile: elected At-Large City Councilmember in November 2025.,"Current identity, at-large office, and election-year evidence.",,City of Arvada,src-co-arvada-profile-michael-griffith,OFFICIAL_DIRECTORY,person-co-arvada-michael-griffith,Person,"Michael Griffith, Councilmember At-Large",https://www.arvadaco.gov/1444/Michael-Griffith-Councilmember-At-Large
2026-08-19 01:45 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-arvada,"Official profile: first elected District 1 in November 2021, re-elected in November 2025, and appointed Mayor Pro Tem in 2023 and 2025.","Current identity, district office, re-election, and leadership-role evidence.",,City of Arvada,src-co-arvada-profile-randy-moorman,OFFICIAL_DIRECTORY,person-co-arvada-randy-moorman,Person,"Randy Moorman, Mayor Pro Tem and District 1 Councilmember",https://www.arvadaco.gov/819/Randy-Moorman-Mayor-Pro-TeM-District-1-C
2026-08-19 01:45 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-arvada,Official profile: elected District 3 Councilmember during the November 2025 Municipal Election.,"Current identity, district office, and election-year evidence.",,City of Arvada,src-co-arvada-profile-rebecka-lovisone,OFFICIAL_DIRECTORY,person-co-arvada-rebecka-lovisone,Person,"Rebecka Lovisone, District 3 Councilmember",https://www.arvadaco.gov/1445/Rebecka-Lovisone-District-3-Councilmembe
2026-08-19 01:45 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-arvada,Official profile: elected Councilmember At-Large in November 2023.,"Current identity, at-large office, and election-year evidence.",,City of Arvada,src-co-arvada-profile-sharon-davis,OFFICIAL_DIRECTORY,person-co-arvada-sharon-davis,Person,"Sharon Davis, Councilmember At-Large",https://www.arvadaco.gov/960/Sharon-Davis-Councilmember-At-Large
2026-08-19 01:45 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-arvada,Official profile: elected to represent District 2 in 2023.,"Current identity, district office, and election-year evidence.",,City of Arvada,src-co-arvada-profile-shawna-ambrose,OFFICIAL_DIRECTORY,person-co-arvada-shawna-ambrose,Person,"Shawna Ambrose, District 2 Councilmember",https://www.arvadaco.gov/961/Shawna-Ambrose-District-2-Councilmember
2026-08-18 22:22 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-arvada,"City GIS, property/address search, city layers, and jurisdiction checks",Boundary and official address-control source path.,,City of Arvada,src-co-arvada-property-search,GIS,jurisdiction-co-arvada,Jurisdiction,Maps and Property Search,https://www.arvadaco.gov/702/Maps-and-Property-Search
2026-08-19 01:45 America/Denver,,INTERNAL_REFERENCE,CO-NORM-001,jurisdiction-co-arvada,Source_GEOIDFQ 1600000US0803455; PLACE; CANONICAL; GEOGRAPHY_AND_JURISDICTION; canonical target 1600000US0803455; PASS; GEO-AUTH-2025-001; reviewed 2026-08-01.,Authoritative geography-disposition evidence matched by exact fully qualified Census key.,,Nested Divisions / WB-002,src-ds005-geography-disposition-arvada,REFERENCE_WORKBOOK,jurisdiction-co-arvada,Jurisdiction,Geography_Disposition — Arvada authority row,https://docs.google.com/spreadsheets/d/139NETp-iofSoHtl_-IdSSph6xf_ePFVtR8l6KWYadSI/edit#gid=2026080105&range=A5694:N5694
