accessed_at,archive_url,authority_level,batch_id,jurisdiction_id,locator,notes,published_at,publisher,source_id,source_type,supports_entity_id,supports_entity_type,title,url
2026-08-19 02:08 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-aspen,Current and archived agendas and minutes for City Council and appointed bodies,Official meeting-record source path.,,City of Aspen,src-co-aspen-agenda-center,OFFICIAL_DIRECTORY,jurisdiction-co-aspen,Jurisdiction,Agenda Center,https://www.aspen.gov/agendacenter
2026-08-18 22:07 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-aspen,Colorado incorporated-place row for Aspen; PLACE=03620; GEOID=0803620.,"Inventory identity and municipal type only; this source does not establish the local governing body, office roster, terms, or municipal legal authority.",2025-01-01,U.S. Census Bureau,src-co-aspen-census-incplace-2025,US_CENSUS,jurisdiction-co-aspen,Jurisdiction,"State of Colorado Incorporated Places — Current/ACS25 — Data as of January 1, 2025",https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_co.html
2026-08-19 02:08 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-aspen,"Current mayor and council roster, selection dates, swearing-in dates, term ends, and meeting information",Primary governing-body roster and current-term source.,,City of Aspen,src-co-aspen-city-council,OFFICIAL_DIRECTORY,jurisdiction-co-aspen,Jurisdiction,City Council,https://www.aspen.gov/674/City-Council
2026-08-19 02:08 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-aspen,"Official City Hall physical address: 427 Rio Grande Place, Aspen, CO 81611; the City contact page directs county matters to Pitkin County.",Current official citywide address-control and county-context source revalidated for CO-NORM-001.,,City of Aspen,src-co-aspen-contact-city-hall,OFFICIAL_DIRECTORY,jurisdiction-co-aspen,Jurisdiction,Contact Us — Aspen City Hall,https://www.aspen.gov/157/Contact-Us
2026-08-19 02:08 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-aspen,"City geospatial platform, open data, maps, applications, and GIS contact","Primary City boundary, mapping, and address-control source.",,City of Aspen,src-co-aspen-gis-mapping,GIS,jurisdiction-co-aspen,Jurisdiction,GIS and Mapping,https://www.aspen.gov/400/GIS-Mapping
2026-08-19 02:08 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-aspen,"Current municipal code, Charter, and Clerk contact",Primary local charter and code source.,,City of Aspen,src-co-aspen-municipal-code,OFFICIAL_CODE,jurisdiction-co-aspen,Jurisdiction,Municipal Code and Charter,https://www.aspen.gov/191/Municipal-Code
2026-08-19 02:08 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-aspen,"Municipal election administration, results path, voter information, and Clerk contact",Primary local municipal-election source.,,City of Aspen,src-co-aspen-municipal-elections,ELECTION_AUTHORITY,jurisdiction-co-aspen,Jurisdiction,Municipal Elections,https://www.aspen.gov/201/Municipal-Elections
2026-08-19 02:08 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-aspen,"City Council, boards, elections, ordinances, resolutions, maps, and land-use records",Official records-search source path; online versions may require Clerk confirmation.,,City of Aspen,src-co-aspen-online-records,OFFICIAL_DIRECTORY,jurisdiction-co-aspen,Jurisdiction,Online Records Search,https://www.aspen.gov/205/Online-Records-Search
2026-08-19 02:08 America/Denver,,PRIMARY_OFFICIAL,CO-INV-001,jurisdiction-co-aspen,"Commission authority, current members, terms, enabling legislation, and meeting links",Representative official boards-and-commissions source path.,,City of Aspen,src-co-aspen-planning-zoning,OFFICIAL_DIRECTORY,jurisdiction-co-aspen,Jurisdiction,Planning and Zoning Commission,https://www.aspen.gov/504/Planning-Zoning-Commission
2026-08-19 02:08 America/Denver,,PRIMARY_OFFICIAL,CO-NORM-001,jurisdiction-co-aspen,"Official municipal facility at 320 East Hyman Avenue, Aspen, CO 81611.",Second independent official municipal facility-address control.,,City of Aspen,src-co-aspen-wheeler-opera-house,OFFICIAL_DIRECTORY,jurisdiction-co-aspen,Jurisdiction,Wheeler Opera House,https://www.aspen.gov/Directory.aspx?did=33
2026-08-19 02:08 America/Denver,,INTERNAL_REFERENCE,CO-NORM-001,jurisdiction-co-aspen,Source_GEOIDFQ 1600000US0803620; PLACE; CANONICAL; GEOGRAPHY_AND_JURISDICTION; canonical target 1600000US0803620; PASS; GEO-AUTH-2025-001; reviewed 2026-08-01.,Authoritative geography-disposition evidence matched by exact fully qualified Census key.,,Nested Divisions / WB-002,src-ds005-geography-disposition-aspen,REFERENCE_WORKBOOK,jurisdiction-co-aspen,Jurisdiction,Geography_Disposition — Aspen authority row,https://docs.google.com/spreadsheets/d/139NETp-iofSoHtl_-IdSSph6xf_ePFVtR8l6KWYadSI/edit#gid=2026080105&range=A5695:N5695
