provenance_scope,source_evidence_id,source_record_id,source_native_id,record_type,source_url,source_type,authority_level,confidence,evidence_status,raw_row_sha256
CONTEXT,ev-wb020-b0949f2abc0789b87a549c20c19d09fbeaa9ff42c7dd2861f050d9cc1be4e9f1,sr-wb020-414f235470fec021f7fccd7c1095ee232778ffb9e9ea582bb2018710e07b2241,TX-BAS25-INCPLACE-STATEWIDE,Source,https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_2025_bas25_tx.html,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,aefb2d5ec4c1747a34d1a086222002ff0274b361ff9ca8e5837080fc0ecd7226
SCOPED,ev-wb020-e92135fd697d99170c3bd7168cb7487945badfe6ab28a35e841a91f423493306,sr-wb020-07a1f9ca7af8c89692596dbe4897b21912835f583e54d8c1f3dd277ce87282c2,KYLE-2026-COUNCIL-DISTRICT-4-LEAH-KAUFMAN,Candidate,https://www.cityofkyle.gov/Election,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,05104813e9999bdd8cbe9bf18580ec80e25530873e8e2e7c532cc22d54a46d3a
SCOPED,ev-wb020-eebde37c93e81eea9deaa5910c75c757881f0f2e0297e7d8f12976692ee5fb2c,sr-wb020-1fae2ba8c8283e19a594392ac1bc9b2defaeecb48dc0fd977bf1c52233ac65fb,KYLE-2026-COUNCIL-DISTRICT-4-KENNETH-ROCHA,Candidate,https://www.cityofkyle.gov/Election,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,b9530abfa728ae12aa6e1817487ec7b43910088becdcdf5d8c1cc09192799869
SCOPED,ev-wb020-46288d7f8cf05ff413c83a31c9ecd64a5d2ddcf6ff954fbf5d5b98976b53f764,sr-wb020-291fe2edda4f0fca4fdee8d4bfcc37fb1ed97d4504a2a76961ea6b204bf4e5a3,KYLE-2026-COUNCIL-DISTRICT-4-SPENCER-COPELAND,Candidate,https://www.cityofkyle.gov/Election,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,6048dd67334289200715c7f66d603719387c00ff308cfb687dce619c2127fc2c
SCOPED,ev-wb020-4c25fc54d7f0f388462eab8b66463bdfeea5d2c1402e5d83a0354e2fa18035d5,sr-wb020-3f04d574805af2611e54ab645a68fc0fb5e048dc64a3069d8beae1ea9916990f,KYLE-2026-NOV03-DISTRICT-2,Structure,https://www.cityofkyle.gov/city-hall/elections/notice-regarding-city-of-kyle-general-election-day-2026/,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,f1bc7cbfdbf8eb74d151f34ceef63ef03e08b6f34d65ce3af16fb74a3b9b0327
SCOPED,ev-wb020-5c610138cbd7200365a637a1d8f8e30ce42cffdc47828810c070eebdb6968919,sr-wb020-3f04d574805af2611e54ab645a68fc0fb5e048dc64a3069d8beae1ea9916990f,KYLE-2026-NOV03-DISTRICT-2,Structure,https://www.cityofkyle.gov/city-hall/elections/notice-regarding-city-of-kyle-general-election-day-2026/,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,f1bc7cbfdbf8eb74d151f34ceef63ef03e08b6f34d65ce3af16fb74a3b9b0327
SCOPED,ev-wb020-1790e9c4be3711960924a35c4fc15e4acb44d30c2e5f733bf544ff777685e53d,sr-wb020-5361036b4b00bd1baaf41d39d5e3ce1457d0ecb7fc1d0021832c1662dbe9d537,KYLE-2026-NOV03-MAYOR,Structure,https://www.cityofkyle.gov/city-hall/elections/notice-regarding-city-of-kyle-general-election-day-2026/,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,cbe89dcf8d083e6ff376efddc3c1033a2f43256878a310355b9caeed26350000
SCOPED,ev-wb020-19e67cf0bf1973952c098d67e28930e290790518f62023cd4320389200623c7f,sr-wb020-5a1372c483b9d8536b87445c85ae09ece6f6fa67e4f3daae6a347470e5c2a8d9,KYLE-2026-NOV03-DISTRICT-4,Structure,https://www.cityofkyle.gov/city-hall/elections/notice-regarding-city-of-kyle-general-election-day-2026/,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,4399c56b762e359377820ddd2049b77b5779b0f5c3a031b590204aab297c88ef
SCOPED,ev-wb020-7a653204198d32b784033e18a635bd767561d94fc9302be6fae935d59a26c109,sr-wb020-5a1372c483b9d8536b87445c85ae09ece6f6fa67e4f3daae6a347470e5c2a8d9,KYLE-2026-NOV03-DISTRICT-4,Structure,https://www.cityofkyle.gov/city-hall/elections/notice-regarding-city-of-kyle-general-election-day-2026/,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,4399c56b762e359377820ddd2049b77b5779b0f5c3a031b590204aab297c88ef
SCOPED,ev-wb020-33c3935aa1e6c53f4de6ce02cc94ff432fcd0e98cb43f51e89c6e6dc75ea9e64,sr-wb020-5a59dd922b5f2321385351df4f639928a299bbca6c94846bb238385b1719ab5a,KYLE-2026-MAYOR-DONNY-WILLS,Candidate,https://www.cityofkyle.gov/Election,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,80df49b4401ca5be3a686e6935c61323f09037ecebc47d17ed5f2293e3000e64
SCOPED,ev-wb020-01e0f2d3420942947282eaf9eae31447175f6c45b98fb76cab397a3f2a41e201,sr-wb020-5f9927a5065ecb3b9f550c462551c97ebd2d819e0c77287441737170422ff652,KYLE-2026-COUNCIL-DISTRICT-2-MIGUEL-A-ZUNIGA,Candidate,https://www.cityofkyle.gov/Election,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,6234e7679b728e247c61194f736cb2dd7f6a2f4540fd5089170f87216abf5b62
SCOPED,ev-wb020-b0da5ed7b51cfc7e60b542def2d005e28e323584a3f8b1c34f4671988c94d354,sr-wb020-80fbb043d70757168fc165544a5805e648f4ce84e83cdf36a761a3ce984c2a3c,KYLE-2026-MAYOR-YVONNE-FLORES-CALE,Candidate,https://www.cityofkyle.gov/Election,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,a502f527fca319c34f22242c555997340146761141614c994fbb90e2237882ed
SCOPED,ev-wb020-722a8c090758147a4386f88b662b05c7197890689379798959e30fe6bc799ee8,sr-wb020-9083a6e26884d804c7906501851511a38ebb1a4ee4e09fc010bd2d0ed67e86b3,KYLE-2026-COUNCIL-DISTRICT-2-MELISA-MEDINA,Candidate,https://www.cityofkyle.gov/Election,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,3a1af849cf84e63a2b088f35d62d8a21ed70e8cbb4d495f8fabb4544bcad61ac
SCOPED,ev-wb020-070e0007e487b312668f7db1bf1c4b2105c61aa59ddffa07dda9b17090b9de1e,sr-wb020-d1d2d4ef7c859cbb97a254b12eccc69a364b63539b8a5316404b6d76fd8ba962,KYLE-2026-MAYOR-ROBERT-RIZO,Candidate,https://www.cityofkyle.gov/Election,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,7f7bf2d3b96157281f4368a5c3131f8c041152779da5a7250b967a378c7d3b98
