provenance_scope,source_evidence_id,source_record_id,source_native_id,record_type,source_url,source_type,authority_level,confidence,evidence_status,raw_row_sha256
CONTEXT,ev-wb020-b0949f2abc0789b87a549c20c19d09fbeaa9ff42c7dd2861f050d9cc1be4e9f1,sr-wb020-414f235470fec021f7fccd7c1095ee232778ffb9e9ea582bb2018710e07b2241,TX-BAS25-INCPLACE-STATEWIDE,Source,https://tigerweb.geo.census.gov/tigerwebmain/Files/acs25/tigerweb_acs25_incplace_2025_bas25_tx.html,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,aefb2d5ec4c1747a34d1a086222002ff0274b361ff9ca8e5837080fc0ecd7226
SCOPED,ev-wb020-0cc2e2de03419ad3847b0f580bf9352b5112fcdf333e349b9eb8f9f19ae5109c,sr-wb020-0cc2e2de03419ad3847b0f580bf9352b5112fcdf333e349b9eb8f9f19ae5109c,MART-2026-CITY-COUNCIL-AT-LARGE-JOHN-DESMUKE-1,Candidate,https://tx-mclennancounty.civicplus.com/DocumentCenter/View/18215/Ballot-Style-E-Mart,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,6c343b9781b129aa02d0d16e8b59d9e0ac3fd6b3a0966048bba541d3b3e0beeb
SCOPED,ev-wb020-2ad087728f71e95a0a6e97a66461b94ef70749294dc67199b01a390eeae8e5ac,sr-wb020-2ad087728f71e95a0a6e97a66461b94ef70749294dc67199b01a390eeae8e5ac,MART-2026-CITY-COUNCIL-AT-LARGE-JOHN-YOUNG-1,Candidate,https://tx-mclennancounty.civicplus.com/DocumentCenter/View/18215/Ballot-Style-E-Mart,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,87e88df28d2ea6f00c7635ab32ca0e44f21373ae6c8833ed5f870eb362eed299
SCOPED,ev-wb020-3f16f96e63c768ec93ab0b22c733a8c02e809363114c58eca6c9cb518c82c4c0,sr-wb020-3f16f96e63c768ec93ab0b22c733a8c02e809363114c58eca6c9cb518c82c4c0,MART-2026-CITY-COUNCIL-AT-LARGE-BOBBY-L-SUMMERS-1,Candidate,https://tx-mclennancounty.civicplus.com/DocumentCenter/View/18215/Ballot-Style-E-Mart,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,04fb83f2a2fb660c018a7387d2b02247d8d7e7b478f0e1d2e55eaf0c9d7ba989
SCOPED,ev-wb020-468b7c5584bd392d76a7c0831f7b0889848beaeeadfcdb2b6ba06b6223f0ab4f,sr-wb020-468b7c5584bd392d76a7c0831f7b0889848beaeeadfcdb2b6ba06b6223f0ab4f,MART-2026-CITY-COUNCIL-AT-LARGE-BRENDA-ROBERTS-1,Candidate,https://tx-mclennancounty.civicplus.com/DocumentCenter/View/18215/Ballot-Style-E-Mart,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,0880c80ce1699c583c5f82a1c376f709c5365cb0e98d74f908023f878f8fa235
SCOPED,ev-wb020-6437e3872b243ba5742ed409a40005337e0bdc66daaf21b1afbfcdb1d7cc2f3c,sr-wb020-6437e3872b243ba5742ed409a40005337e0bdc66daaf21b1afbfcdb1d7cc2f3c,MART-2026-CITY-COUNCIL-AT-LARGE-ODELL-NEVILLS-1,Candidate,https://tx-mclennancounty.civicplus.com/DocumentCenter/View/18215/Ballot-Style-E-Mart,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,992d86a6cd056d7a57e31989e22dc4f9eb6c13501941487e53e8bf3fbdf460a9
SCOPED,ev-wb020-865c0498178143e1d9cccd8bb14a89ee66283ba7607cd2e8a3808893a52a3a91,sr-wb020-865c0498178143e1d9cccd8bb14a89ee66283ba7607cd2e8a3808893a52a3a91,MART-2026-CITY-COUNCIL-AT-LARGE-DANIA-CHAPMAN-1,Candidate,https://tx-mclennancounty.civicplus.com/DocumentCenter/View/18215/Ballot-Style-E-Mart,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,7c3f9566ccc3692a36d09228527984c35a463856de7cdeecaaf7fb9747a8271b
SCOPED,ev-wb020-d3b218cf2b50a6e0c763fb2a1e9a61299bc6527a84c49de0c547d57db349feb4,sr-wb020-d3b218cf2b50a6e0c763fb2a1e9a61299bc6527a84c49de0c547d57db349feb4,MART-2026-CITY-COUNCIL-AT-LARGE-RAY-GONZALES-1,Candidate,https://tx-mclennancounty.civicplus.com/DocumentCenter/View/18215/Ballot-Style-E-Mart,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,cc1643ccacdc17faf44d37854eeaf6accf4756b37fd369c70af3ecd56ef45ac1
SCOPED,ev-wb020-dd1616503afffebb120432a9fb0124ee486df769067cf3ae7d45ccd914cd9f6b,sr-wb020-dd1616503afffebb120432a9fb0124ee486df769067cf3ae7d45ccd914cd9f6b,MART-2026-CITY-COUNCIL-AT-LARGE-ANDREA-FULLNER-1,Candidate,https://tx-mclennancounty.civicplus.com/DocumentCenter/View/18215/Ballot-Style-E-Mart,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,55ccbe726b4e9e8b33c083cba9dcdd2dddb54681aafc8c6095c0d2661d365e5f
SCOPED,ev-wb020-e8c83e021ea96b10f0a17efd314b5af7a9dec3ab6fc83a8245a21ec423230444,sr-wb020-e8c83e021ea96b10f0a17efd314b5af7a9dec3ab6fc83a8245a21ec423230444,MART-2026-CITY-COUNCIL-AT-LARGE-TREVOR-BAIZE-1,Candidate,https://tx-mclennancounty.civicplus.com/DocumentCenter/View/18215/Ballot-Style-E-Mart,OFFICIAL_WEB,OFFICIAL_PRIMARY,HIGH,ACTIVE,f7f20f8cef3d8b5abcd22e8301791a5ddb214723bf420473a2cebc3989fbdb78
